Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
AAVE,Lending,AAVE,Ethereum,-,-24.56%,-1.73%,$10.37b,10370000000,2021-05-23 07:18:36.617352
MakerDAO,Protocols,MKR,Ethereum,-,-40.20%,-0.72%,$8.4b,8400000000,2021-05-23 07:18:36.617352
Polygon,Protocols,MATIC,Polygon,-,-9.00%,-0.74%,$7.54b,7540000000,2021-05-23 07:18:36.617352
Curve,Dexes,CRV,Ethereum,-,-17.09%,-0.61%,$7.39b,7390000000,2021-05-23 07:18:36.617352
Compound,Lending,COMP,Ethereum,-,-29.41%,-0.48%,$7.27b,7270000000,2021-05-23 07:18:36.617352
WBTC,Assets,WBTC,Ethereum,-,-19.94%,-0.61%,$6.77b,6770000000,2021-05-23 07:18:36.617352
PancakeSwap,Dexes,CAKE,Binance,-,-35.59%,-1.71%,$6.33b,6330000000,2021-05-23 07:18:36.617352
Uniswap,Dexes,UNI,Ethereum,-,-32.24%,-1.06%,$5.33b,5330000000,2021-05-23 07:18:36.617352
InstaDApp,Protocols,-,Ethereum,-,-13.42%,+0.47%,$4.1b,4100000000,2021-05-23 07:18:36.617352
Yearn Finance,Yield,YFI,Ethereum,-,-23.98%,+0.21%,$3.5b,3500000000,2021-05-23 07:18:36.617352
SushiSwap,Dexes,SUSHI,Ethereum,-,-23.05%,-0.81%,$3.43b,3430000000,2021-05-23 07:18:36.617352
Balancer,Dexes,BAL,Ethereum,-,-28.62%,+0.07%,$2.4b,2400000000,2021-05-23 07:18:36.617352
Venus,Lending,XVS,Binance,-,-65.59%,-0.89%,$2.15b,2150000000,2021-05-23 07:18:36.617352
Ellipsis Finance,Dexes,EPS,Binance,-,-27.98%,-0.02%,$2.04b,2040000000,2021-05-23 07:18:36.617352
Liquity,Protocols,LQTY,Ethereum,-,-46.32%,-0.43%,$2.01b,2010000000,2021-05-23 07:18:36.617352
Mirror,Assets,MIR,Terra,-,-14.87%,+0.11%,$1.82b,1820000000,2021-05-23 07:18:36.617352
Synthetix,Dexes,SNX,Ethereum,-,-23.01%,+0.05%,$1.77b,1770000000,2021-05-23 07:18:36.617352
Bancor,Dexes,BNT,Ethereum,-,-38.34%,-0.24%,$1.31b,1310000000,2021-05-23 07:18:36.617352
Lido,Staking,LDO,Multi-Chain,-,-39.58%,-1.93%,$1.25b,1250000000,2021-05-23 07:18:36.617352
Bunny,Yield,BUNNY,Binance,-,-75.53%,-1.82%,$1.24b,1240000000,2021-05-23 07:18:36.617352
hBTC,Assets,hBTC,Ethereum,-,-22.67%,-0.61%,$1.19b,1190000000,2021-05-23 07:18:36.617352
Belt Finance,Yield,BELT,Binance,-,-46.41%,-0.20%,$1.17b,1170000000,2021-05-23 07:18:36.617352
DefiSaver,Protocols,-,Ethereum,-4.58%,-23.33%,+1.84%,$1.15b,1150000000,2021-05-23 07:18:36.617352
Alchemix,Yield,ALCX,Ethereum,-,-31.19%,-0.10%,$1.06b,1060000000,2021-05-23 07:18:36.617352
Autofarm,Yield,AUTO,Multi-Chain,-7.79%,-41.37%,-0.75%,$959.69m,959690000,2021-05-23 07:18:36.617352
Flexa,Protocols,AMP,Ethereum,-,-40.55%,-0.18%,$856.31m,856310000,2021-05-23 07:18:36.617352
Vesper,Yield,VSP,Ethereum,-,-39.81%,-0.95%,$849.32m,849320000,2021-05-23 07:18:36.617352
Quickswap,Dexes,QUICK,Polygon,-,+16.74%,-0.20%,$765.46m,765460000,2021-05-23 07:18:36.617352
Badger DAO,Yield,BADGER,Ethereum,-,-28.88%,-0.23%,$700.05m,700050000,2021-05-23 07:18:36.617352
Alpha Finance,Yield,ALPHA,Multi-Chain,-,-,-0.23%,$580.76m,580760000,2021-05-23 07:18:36.617352
RenVM,Assets,REN,Multi-Chain,-,-24.68%,-0.17%,$566.04m,566040000,2021-05-23 07:18:36.617352
Anchor,Lending,ANC,Terra,-,-33.47%,-1.88%,$498.08m,498080000,2021-05-23 07:18:36.617352
Nerve,Dexes,NRV,Binance,-,-31.52%,-0.35%,$468.17m,468170000,2021-05-23 07:18:36.617352
Raydium,Dexes,RAY,Solana,-,-42.43%,-1.22%,$438.49m,438490000,2021-05-23 07:18:36.617352
Tornado Cash,Protocols,-,Ethereum,-,-40.47%,-0.84%,$408.58m,408580000,2021-05-23 07:18:36.617352
Fei Protocol,Assets,FEI,Ethereum,-,-23.69%,-0.57%,$374.72m,374720000,2021-05-23 07:18:36.617352
Nexus Mutual,Insurance,NXM,Ethereum,-,-39.86%,-0.86%,$372.68m,372680000,2021-05-23 07:18:36.617352
Pangolin,Dexes,PNG,Avalanche,-,+6.27%,+0.05%,$353.51m,353510000,2021-05-23 07:18:36.617352
Wault,Yield,WEX,Binance,-,-57.10%,-0.82%,$352.75m,352750000,2021-05-23 07:18:36.617352
Harvest Finance,Yield,FARM,Ethereum,-,-32.53%,-0.91%,$330.72m,330720000,2021-05-23 07:18:36.617352
Unit Protocol,Protocols,DUCK,Ethereum,-,-44.74%,-1.10%,$317.1m,317100000,2021-05-23 07:18:36.617352
Thorchain,Dexes,RUNE,Binance,-,-50.00%,-1.55%,$304.39m,304390000,2021-05-23 07:18:36.617352
Depth,Dexes,DEP,Heco,-,-,-0.02%,$304.04m,304040000,2021-05-23 07:18:36.617352
ACryptoS,Yield,ACS,Binance,-,-39.94%,+0.79%,$279.89m,279890000,2021-05-23 07:18:36.617352
Stacks,Protocols,STX,Stacks,-,-39.71%,-5.17%,$262.71m,262710000,2021-05-23 07:18:36.617352
DefiChain,Protocols,DFI,DefiChain,-,-26.27%,-0.68%,$257.11m,257110000,2021-05-23 07:18:36.617352
Serum,Dexes,SRM,Solana,-,-55.98%,-18.60%,$242.01m,242010000,2021-05-23 07:18:36.617352
Convex Finance,Yield,CVX,Ethereum,-,-,+0.04%,$223.53m,223530000,2021-05-23 07:18:36.617352
Wing Finance,Lending,WING,Ontology,-,-35.70%,-0.81%,$218.02m,218020000,2021-05-23 07:18:36.617352
CREAM Finance,Lending,CREAM,Ethereum,-,-33.65%,-1.32%,$216.08m,216080000,2021-05-23 07:18:36.617352
Set Protocol,Indexes,-,Ethereum,-,-45.78%,+0.28%,$206.61m,206610000,2021-05-23 07:18:36.617352
Fantom,Protocols,FTM,Multi-Chain,-,-52.17%,-1.34%,$194.01m,194010000,2021-05-23 07:18:36.617352
Index Coop,Indexes,INDEX,Ethereum,-,-40.79%,-0.29%,$192.38m,192380000,2021-05-23 07:18:36.617352
Idle Finance,Yield,IDLE,Ethereum,-,-24.70%,-0.01%,$186.91m,186910000,2021-05-23 07:18:36.617352
KEEP Network,Assets,KEEP,Ethereum,-,-49.68%,-1.72%,$181.29m,181290000,2021-05-23 07:18:36.617352
PoolTogether,Protocols,POOL,Ethereum,-,-23.01%,-0.41%,$178.78m,178780000,2021-05-23 07:18:36.617352
Flamingo Finance,Dexes,FLM,NEO,-,-30.55%,-1.26%,$178.68m,178680000,2021-05-23 07:18:36.617352
Kava,Lending,KAVA,Multi-Chain,-,-48.82%,-0.83%,$152.82m,152820000,2021-05-23 07:18:36.617352
Loopring,Dexes,LRC,Ethereum,-,-37.38%,-0.90%,$152.28m,152280000,2021-05-23 07:18:36.617352
dYdX,Dexes,-,Ethereum,-,-46.24%,-0.59%,$150.95m,150950000,2021-05-23 07:18:36.617352
StakeHound,Staking,-,Ethereum,-,-39.65%,-0.86%,$147.02m,147020000,2021-05-23 07:18:36.617352
bZx,Lending,BZRX,Ethereum,-,-64.66%,-0.62%,$146.17m,146170000,2021-05-23 07:18:36.617352
Dfyn Network,Dexes,DFYN,Polygon,-,-34.59%,-1.18%,$135.69m,135690000,2021-05-23 07:18:36.617352
DODO,Dexes,DODO,Ethereum,+7.33%,-17.69%,-0.04%,$134.75m,134750000,2021-05-23 07:18:36.617352
Deus,Protocols,DEUS,Multi-Chain,+13.47%,+41.82%,+0.25%,$129.69m,129690000,2021-05-23 07:18:36.617352
xDAI Stake,Protocols,STAKE,Ethereum,-,+51.76%,-0.12%,$127.16m,127160000,2021-05-23 07:18:36.617352
B.Protocol,Lending,BPRO,Ethereum,-,-46.41%,-0.60%,$125.27m,125270000,2021-05-23 07:18:36.617352
UMA Protocol,Protocols,UMA,Ethereum,-,-42.32%,-1.94%,$118.5m,118500000,2021-05-23 07:18:36.617352
Sablier Finance,Protocols,-,Ethereum,-,-43.55%,-0.03%,$117.91m,117910000,2021-05-23 07:18:36.617352
TrueFi,Lending,TRU,Ethereum,-,+9.51%,-1.98%,$112.99m,112990000,2021-05-23 07:18:36.617352
ZilSwap,Dexes,ZWAP,Zilliqa,-,-36.73%,-1.74%,$109.31m,109310000,2021-05-23 07:18:36.617352
Integral,Dexes,-,Ethereum,-,-68.57%,-0.77%,$103.77m,103770000,2021-05-23 07:18:36.617352
Reflexer,Assets,RAI,Ethereum,-,-56.45%,-0.88%,$103.74m,103740000,2021-05-23 07:18:36.617352
Ankr,Staking,ANKR,Ethereum,-,-39.49%,-0.85%,$103.28m,103280000,2021-05-23 07:18:36.617352
Pickle,Yield,PICKLE,Ethereum,-1.63%,-1.37%,+0.25%,"$94,569,654",94569654,2021-05-23 07:18:36.617352
Unslashed,Insurance,USF,Ethereum,-,-40.04%,-1.51%,"$92,945,264",92945264,2021-05-23 07:18:36.617352
BarnBridge,Yield,BOND,Ethereum,-,-8.17%,-0.06%,"$83,853,906",83853906,2021-05-23 07:18:36.617352
MANTRA DAO,Protocols,OM,Ethereum,-,-46.35%,-1.30%,"$83,461,027",83461027,2021-05-23 07:18:36.617352
OnX.Finance,Lending,ONX,Ethereum,-,-43.83%,-1.23%,"$75,914,735",75914735,2021-05-23 07:18:36.617352
Flamincome,Yield,FLAG,Ethereum,-,-21.65%,-0.62%,"$75,279,025",75279025,2021-05-23 07:18:36.617352
1inch,Dexes,1INCH,Ethereum,-,-53.42%,-0.58%,"$72,001,985",72001985,2021-05-23 07:18:36.617352
SolFarm,Yield,Token not found,Solana,-25.46%,"$70,018,274",-,"$70,018,274",70018274,2021-05-23 07:18:36.617352
KeeperDAO,Yield,ROOK,Ethereum,-,-52.10%,-1.92%,"$67,849,371",67849371,2021-05-23 07:18:36.617352
Secret Network,Protocols,SCRT,Secret,-,-42.97%,-0.92%,"$67,488,344",67488344,2021-05-23 07:18:36.617352
Secret Bridge,Assets,-,Secret,-,-42.97%,-0.92%,"$67,488,344",67488344,2021-05-23 07:18:36.617352
yAxis,Yield,YAX,Ethereum,-,-56.82%,-0.78%,"$66,146,402",66146402,2021-05-23 07:18:36.617352
Goose Finance,Yield,EGG,Binance,-,-40.53%,-0.77%,"$64,313,603",64313603,2021-05-23 07:18:36.617352
mStable,Protocols,MTA,Ethereum,-,-13.04%,-0.19%,"$61,582,761",61582761,2021-05-23 07:18:36.617352
StakeWise,Staking,SWISE,Ethereum,-,-38.33%,-0.86%,"$61,262,248",61262248,2021-05-23 07:18:36.617352
Metronome,Assets,MET,Ethereum,-,-38.91%,-0.64%,"$56,367,775",56367775,2021-05-23 07:18:36.617352
