,Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
0,AAVE,Lending,AAVE,Ethereum,+8.59%,+64.58%,-0.08%,$9.93b,9930000000.0,2021-04-30 23:59:00.921556
1,PancakeSwap,Dexes,CAKE,Binance,+2.32%,+13.12%,-0.11%,$9.93b,9930000000.0,2021-04-30 23:59:00.921556
2,MakerDAO,Protocols,MKR,Ethereum,+7.88%,+9.54%,+0.08%,$9.75b,9750000000.0,2021-04-30 23:59:00.921556
3,WBTC,Assets,WBTC,Ethereum,+7.34%,+15.76%,-0.13%,$9.2b,9200000000.0,2021-04-30 23:59:00.921556
4,Compound,Lending,COMP,Ethereum,+2.28%,+3.96%,-0.03%,$9b,9000000000.0,2021-04-30 23:59:00.921556
5,Uniswap,Dexes,UNI,Ethereum,+1.69%,-5.69%,-0.27%,$7.74b,7740000000.0,2021-04-30 23:59:00.921556
6,Bunny,Yield,BUNNY,Binance,+3.14%,+115%,-0.89%,$7.19b,7190000000.0,2021-04-30 23:59:00.921556
7,Curve,Dexes,CRV,Ethereum,+0.53%,+9.98%,+0.09%,$6.86b,6860000000.0,2021-04-30 23:59:00.921556
8,Venus,Lending,XVS,Binance,+7.20%,+29.76%,-0.21%,$5.77b,5770000000.0,2021-04-30 23:59:00.921556
9,SushiSwap,Dexes,SUSHI,Ethereum,+10.13%,+23.16%,-0.32%,$4.99b,4990000000.0,2021-04-30 23:59:00.921556
10,Polygon,Protocols,MATIC,Polygon,+12.42%,+211%,-1.22%,$4.83b,4830000000.0,2021-04-30 23:59:00.921556
11,InstaDApp,Protocols,-,Ethereum,+0.81%,+26.40%,0%,$3.42b,3420000000.0,2021-04-30 23:59:00.921556
12,Yearn Finance,Yield,YFI,Ethereum,+9.65%,+8.44%,-0.13%,$3.32b,3320000000.0,2021-04-30 23:59:00.921556
13,Liquity,Protocols,LQTY,Ethereum,+1.32%,+18.25%,-0.39%,$3.23b,3230000000.0,2021-04-30 23:59:00.921556
14,Balancer,Dexes,BAL,Ethereum,+4.62%,+19.98%,+0.05%,$3.11b,3110000000.0,2021-04-30 23:59:00.921556
15,Ellipsis Finance,Dexes,EPS,Binance,-10.59%,-27.29%,-0.00%,$2.14b,2140000000.0000002,2021-04-30 23:59:00.921556
16,Synthetix,Dexes,SNX,Ethereum,+4.28%,+24.70%,-0.70%,$2.1b,2100000000.0,2021-04-30 23:59:00.921556
17,Mirror,Assets,MIR,Terra,-0.16%,+12.01%,-0.02%,$2.04b,2040000000.0,2021-04-30 23:59:00.921556
18,Bancor,Dexes,BNT,Ethereum,+7.14%,+18.61%,-0.35%,$1.99b,1990000000.0,2021-04-30 23:59:00.921556
19,hBTC,Assets,hBTC,Ethereum,+7.27%,+11.49%,-0.13%,$1.58b,1580000000.0,2021-04-30 23:59:00.921556
20,Autofarm,Yield,AUTO,Multi-Chain,+5.57%,+120%,+0.17%,$1.54b,1540000000.0,2021-04-30 23:59:00.921556
21,Lido,Staking,LDO,Multi-Chain,+4.55%,+27.60%,-0.29%,$1.49b,1490000000.0,2021-04-30 23:59:00.921556
22,Vesper,Yield,VSP,Ethereum,+8.14%,+23.10%,+0.01%,$1.46b,1460000000.0,2021-04-30 23:59:00.921556
