Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
MakerDAO,Protocols,MKR,Ethereum,-3.54%,-,+0.07%,$13.74b,13740000000,2021-05-14 07:18:54.983875
AAVE,Lending,AAVE,Ethereum,-3.90%,+6.24%,-0.97%,$12.51b,12510000000,2021-05-14 07:18:54.983875
Compound,Lending,COMP,Ethereum,-4.78%,+7.47%,-0.29%,$10.6b,10600000000,2021-05-14 07:18:54.983875
PancakeSwap,Dexes,CAKE,Binance,0%,-5.40%,0%,$9.31b,9310000000,2021-05-14 07:18:54.983875
Curve,Dexes,CRV,Ethereum,-0.30%,+12.60%,+0.16%,$8.76b,8760000000,2021-05-14 07:18:54.983875
WBTC,Assets,WBTC,Ethereum,-2.18%,-9.18%,-0.41%,$8.61b,8610000000,2021-05-14 07:18:54.983875
Uniswap,Dexes,UNI,Ethereum,-3.12%,-2.25%,-0.27%,$7.85b,7850000000,2021-05-14 07:18:54.983875
Polygon,Protocols,MATIC,Polygon,+0.83%,+39.71%,+0.48%,$6.45b,6450000000,2021-05-14 07:18:54.983875
Venus,Lending,XVS,Binance,-2.50%,-9.45%,-0.64%,$6.37b,6370000000,2021-05-14 07:18:54.983875
Bunny,Yield,BUNNY,Binance,-11.35%,-23.58%,+0.56%,$5.29b,5290000000,2021-05-14 07:18:54.983875
InstaDApp,Protocols,-,Ethereum,-1.33%,+8.68%,-0.06%,$4.6b,4600000000,2021-05-14 07:18:54.983875
Yearn Finance,Yield,YFI,Ethereum,-2.23%,+16.13%,-0.28%,$4.44b,4440000000,2021-05-14 07:18:54.983875
SushiSwap,Dexes,SUSHI,Ethereum,-4.53%,-17.66%,+0.51%,$4.35b,4350000000,2021-05-14 07:18:54.983875
Liquity,Protocols,LQTY,Ethereum,-2.39%,+1.80%,+0.53%,$3.96b,3960000000,2021-05-14 07:18:54.983875
Balancer,Dexes,BAL,Ethereum,-2.43%,+3.89%,-0.12%,$3.39b,3390000000,2021-05-14 07:18:54.983875
Ellipsis Finance,Dexes,EPS,Binance,-1.34%,-5.94%,+0.07%,$2.59b,2590000000,2021-05-14 07:18:54.983875
Synthetix,Dexes,SNX,Ethereum,+4.28%,+17.40%,+6.85%,$2.49b,2490000000,2021-05-14 07:18:54.983875
Belt Finance,Yield,BELT,Binance,-,-,+0.36%,$2.36b,2360000000,2021-05-14 07:18:54.983875
Bancor,Dexes,BNT,Ethereum,-3.89%,-2.60%,-0.16%,$2.15b,2150000000,2021-05-14 07:18:54.983875
Mirror,Assets,MIR,Terra,-0.50%,$2.14b,-0.40%,$2.14b,2140000000,2021-05-14 07:18:54.983875
Lido,Staking,LDO,Multi-Chain,-0.76%,+16.14%,-0.56%,$2.04b,2040000000,2021-05-14 07:18:54.983875
Autofarm,Yield,AUTO,Multi-Chain,-0.96%,-7.29%,-0.28%,$1.62b,1620000000,2021-05-14 07:18:54.983875
Alchemix,Yield,ALCX,Ethereum,-2.54%,+8.51%,+0.18%,$1.59b,1590000000,2021-05-14 07:18:54.983875
Flexa,Protocols,AMP,Ethereum,-4.04%,-15.44%,+0.24%,$1.45b,1450000000,2021-05-14 07:18:54.983875
Vesper,Yield,VSP,Ethereum,-6.75%,-3.15%,+0.09%,$1.41b,1410000000,2021-05-14 07:18:54.983875
hBTC,Assets,hBTC,Ethereum,-2.46%,-11.55%,-0.41%,$1.37b,1370000000,2021-05-14 07:18:54.983875
DefiSaver,Protocols,-,Ethereum,-3.42%,+10.81%,-0.28%,$1.37b,1370000000,2021-05-14 07:18:54.983875
Alpha Finance,Yield,ALPHA,Multi-Chain,+4.43%,-,-2.30%,$1.37b,1370000000,2021-05-14 07:18:54.983875
Badger DAO,Yield,BADGER,Ethereum,-7.97%,-27.18%,-0.14%,$1.01b,1010000000,2021-05-14 07:18:54.983875
Uniswap v3,Dexes,UNI,Ethereum,+10.16%,-,-0.51%,$949.09m,949090000,2021-05-14 07:18:54.983875
Nerve,Dexes,NRV,Binance,-4.01%,-9.83%,+0.33%,$826.23m,826230000,2021-05-14 07:18:54.983875
RenVM,Assets,REN,Multi-Chain,-0.28%,-14.46%,-0.42%,$758.59m,758590000,2021-05-14 07:18:54.983875
Anchor,Lending,ANC,Terra,+1.31%,-0.67%,+0.73%,$738.97m,738970000,2021-05-14 07:18:54.983875
Raydium,Dexes,RAY,Solana,-7.65%,-14.47%,-0.09%,$729.22m,729220000,2021-05-14 07:18:54.983875
Tornado Cash,Protocols,-,Ethereum,-4.54%,+8.37%,+0.53%,$672.02m,672020000,2021-05-14 07:18:54.983875
Wault,Yield,WEX,Binance,+3.63%,-,+1.14%,$669.1m,669100000,2021-05-14 07:18:54.983875
Nexus Mutual,Insurance,NXM,Ethereum,-2.79%,+11.06%,-0.34%,$615.89m,615890000,2021-05-14 07:18:54.983875
Serum,Dexes,SRM,Solana,-,-,+0.28%,$603.94m,603940000,2021-05-14 07:18:54.983875
Thorchain,Dexes,RUNE,Binance,-2.58%,-6.78%,+0.23%,$601.31m,601310000,2021-05-14 07:18:54.983875
Unit Protocol,Protocols,DUCK,Ethereum,-5.12%,+9.59%,+0.30%,$528.71m,528710000,2021-05-14 07:18:54.983875
Quickswap,Dexes,QUICK,Polygon,+4.44%,-,-0.36%,$517.81m,517810000,2021-05-14 07:18:54.983875
Harvest Finance,Yield,FARM,Ethereum,-4.90%,-5.16%,-0.44%,$507.22m,507220000,2021-05-14 07:18:54.983875
Fei Protocol,Assets,FEI,Ethereum,-1.65%,+5.67%,-0.26%,$493.56m,493560000,2021-05-14 07:18:54.983875
bZx,Lending,BZRX,Ethereum,+0.29%,-18.99%,-0.64%,$444.7m,444700000,2021-05-14 07:18:54.983875
Stacks,Protocols,STX,Stacks,-3.01%,-35.60%,+0.63%,$433.02m,433020000,2021-05-14 07:18:54.983875
KeeperDAO,Yield,ROOK,Ethereum,-21.62%,-26.20%,+0.42%,$402.31m,402310000,2021-05-14 07:18:54.983875
ACryptoS,Yield,ACS,Binance,-0.07%,-2.86%,-1.56%,$399.83m,399830000,2021-05-14 07:18:54.983875
Fantom,Protocols,FTM,Multi-Chain,-4.39%,-21.15%,-0.42%,$391.91m,391910000,2021-05-14 07:18:54.983875
Set Protocol,Indexes,-,Ethereum,-3.12%,+14.21%,+0.20%,$369.78m,369780000,2021-05-14 07:18:54.983875
KEEP Network,Assets,KEEP,Ethereum,-3.29%,+1.45%,-0.40%,$359.78m,359780000,2021-05-14 07:18:54.983875
Wing Finance,Lending,WING,Ontology,-2.20%,-5.14%,-0.46%,$351.22m,351220000,2021-05-14 07:18:54.983875
Integral,Dexes,-,Ethereum,-7.50%,-15.20%,-0.16%,$347.96m,347960000,2021-05-14 07:18:54.983875
DefiChain,Protocols,DFI,DefiChain,-2.22%,-1.82%,-0.52%,$346.28m,346280000,2021-05-14 07:18:54.983875
Pangolin,Dexes,PNG,Avalanche,-3.43%,-4.36%,-0.36%,$325.21m,325210000,2021-05-14 07:18:54.983875
